name,no_of_fte_students,no_of_students_per_staff,international_students,country,percent_female
Sokoto State University,8244,23.8,0,Nigeria,25 
Sir Syed University of Engineering and Technology,5879,14.1,0,Pakistan,0.643055556
Simón Bolívar University (Colombia),18482,18.2,1,Colombia,60
Simón Bolívar University,4462,10.5,0,Venezuela,43
Silesian University in Opava,5322,20.4,6,Czech Republic,71
Sikkim Manipal University,3013,10.5,2,India,31 
Shri Mata Vaishno Devi University,1805,15,0,India,40 
Samarkand State Medical University,7200,10.2,1,Uzbekistan,41
Shonan Institute of Technology,2234,29.4,9,Japan,0.35625
The University of Shiga Prefecture,2853,14.1,1,Japan,49
Shaheed Zulfiqar Ali Bhutto Medical University,4803,8.6,1,Pakistan,55
Shaheed Benazir Bhutto Women University Peshawar,5677,38.6,0,Pakistan,100
Senshu University,17933,23,3,Japan,35 
Sefako Makgatho Health Sciences University,6306,9.9,1,South Africa,62
University of Science and Technology of Southern Philippines (USTP),9222,32.5,0,Philippines,60
SBS Swiss Business School,1644,10.3,57,Switzerland,42
Saudi Electronic University,21756,24.3,6,Saudi Arabia,48
Satya Wacana Christian University,16132,35.5,0,Indonesia,45
University of Santo Tomas,26511,13.3,7,Philippines,51
University of San Martín de Porres,40234,18,0,Peru,61
Universidad San Ignacio de Loyola,21556,35.9,1,Peru,51
Samuel Adegboyega University,390,5.4,0,Nigeria,51
Samarkand State Institute of Foreign Languages,5010,10.9,0,Uzbekistan,74
Samarkand State University,15754,17.2,0,Uzbekistan,50
Samara State Medical University,7097,9.4,8,Russian Federation,71
Samara State University of Economics,4771,24.5,3,Russian Federation,58
Salem University,513,3.9,1,Nigeria,40 
Salahaddin University,25189,10.7,1,Iraq,55
Sakon Nakhon Rajabhat University,9328,20.1,0,Thailand,64
Saint Petersburg State Pediatric Medical University,4894,9.7,11,Russian Federation,73
University of Saint Joseph,1141,10.7,24,Macao,62
Explore,NA,NA,NA,University of Sadat City,NA
Egypt,NA,NA,NA,Ryazan State Medical University,NA
Russian Federation,NA,NA,NA,Russian University of State for Social (RUSS),NA
Russian Federation,NA,NA,NA,Russian State University for the Humanities,NA
Russian Federation,NA,NA,NA,Russian State Agrarian University – Moscow Timiryazev Agricultural Academy,NA
Russian Federation,NA,NA,NA,Royal Northern College of Music,NA
United Kingdom,NA,NA,NA,Royal College of Music,NA
United Kingdom,NA,NA,NA,Royal Academy of Music,NA
United Kingdom,NA,NA,NA,Royal Conservatoire of Scotland,NA
United Kingdom,NA,NA,NA,Royal College of Art,NA
United Kingdom,NA,NA,NA,"Royal Central School of Speech and Drama, University of London",NA
United Kingdom,NA,NA,NA,Royal Agricultural University,NA
United Kingdom,NA,NA,NA,Rostov State University of Economics,NA
Russian Federation,NA,NA,NA,Rose Bruford College,NA
United Kingdom,NA,NA,NA,REVA University,NA
India,NA,NA,NA,Rennes School of Business,NA
France,NA,NA,NA,Rawalpindi Medical University,NA
Pakistan,NA,NA,NA,Ravensbourne,NA
United Kingdom,NA,NA,NA,Rajamangala University of Technology Isan,NA
Thailand,NA,NA,NA,Queen Margaret University,NA
United Kingdom,NA,NA,NA,University of Puthisastra,NA
Cambodia,NA,NA,NA,"University of Professional Studies, Accra",NA
Ghana,NA,NA,NA,Prince Sultan University (PSU),NA
Saudi Arabia,NA,NA,NA,Explore,NA
Prefectural University of Hiroshima,2623,12.3,2,Japan,65
Universidad Popular Autónoma del Estado de Puebla,11279,16.1,1,Mexico,60
Polytechnic Institute of Setúbal,7829,17.3,6,Portugal,54
Poltava V.G. Korolenko National Pedagogical University (PNPU),3812,5.8,0,Ukraine,51
Polytechnic University of Tirana,8591,16.2,2,Albania,n/a
Plymouth Marjon University,1845,18.5,3,United Kingdom,61
Philadelphia University (Jordan),3615,20.1,36,Jordan,41
University of Phayao,18057,20.7,0,Thailand,68
Pharos University,11106,14.1,6,Egypt,49
University of Petra,6538,19.9,21,Jordan,57
Pavlo Tychyna Uman State Pedagogical University,9149,17.5,2,Ukraine,32 
Paris University of International Education,445,29.7,100,France,32 
Panteion University of Social and Political Sciences,12615,62.5,2,Greece,52
Palestine Technical University – Kadoorie,7013,18.3,4,Palestine,59
Palestine Polytechnic University,4812,27,3,Palestine,55
Ostrogradsky National University of Kremenchuk,4106,11.8,0,Ukraine,38 
ORT Uruguay University,4151,6.7,2,Uruguay,47
Orel State University named after I.S. Turgenev,11549,13.3,15,Russian Federation,56
Orel State Agrarian University named after N.V. Parahin,1769,11.6,16,Russian Federation,42
Omsk State Agrarian University,4838,18.1,13,Russian Federation,55
Olusegun Agagu University of Science and Technology,6474,29.4,0,Nigeria,28 
Oguz Han Engineering and Technology University of Turkmenistan,2223,13.2,0,Turkmenistan,52
October 6 University,25927,20.8,3,Egypt,49
Nursing School of Coimbra,2138,23,7,Portugal,85
Novosibirsk State University of Economics and Management,3717,8.4,16,Russian Federation,72
Novena University,1981,25.4,0,Nigeria,42
University of Nova Gorica,416,3.5,54,Slovenia,48
Norwich University of the Arts,2290,15.8,13,United Kingdom,61
Northern Technical University,21400,27.5,0,Iraq,48
Northeast Ohio Medical University,955,11.8,0,United States,54
University of Northampton,9945,16.9,33,United Kingdom,64
Nitte (Deemed to be University),4408,7.7,1,India,65
Ninevah University,3707,13.6,0,Iraq,42
Nile University,2168,14.4,2,Egypt,28 
University of Niigata Prefecture,1196,14.8,1,Japan,76
Niigata University of Health and Welfare,4410,17.2,0,Japan,51
Nihon Pharmaceutical University,1618,18.4,4,Japan,48
"Nigerian Police Academy, Wudil",3087,21.9,0,Nigeria,0.725
Niger Delta University,20608,25.9,0,Nigeria,45
Newman University,2325,17.9,12,United Kingdom,76
Universitas Negeri Surabaya,29840,24.5,0,Indonesia,64
Navoi State Pedagogical Institute,12791,26.4,0,Uzbekistan,72
National University “Yuri Kondrautyuk Poltava Polytechnic,5067,8.1,10,Ukraine,49
National University of Water and Environmental Engineering,4344,9.8,3,Ukraine,34 
National Transport University,7262,11.5,2,Ukraine,31 
National Taichung University of Science and Technology,15512,14.9,1,Taiwan,70
"National University, Sudan",5132,12.3,6,Sudan,60
"National University of Science and Technology, Oman",3986,18.8,14,Oman,63
National University of Quilmes,33703,27.3,2,Argentina,57
National Polytechnic University of Armenia,5742,8.7,2,Armenia,0.888888889
The National University of Ostroh Academy,3432,8.8,1,Ukraine,57
National University Odessa Law Academy,10503,17.7,1,Ukraine,60
National University of Mongolia,18647,26.5,2,Mongolia,60
National University of Medical Sciences (NUMS),1654,5,0,Pakistan,72
National Film and Television School,395,7.2,42,United Kingdom,50
National University of Computer and Emerging Sciences,8291,14.8,2,Pakistan,0.970833333
National Aviation University,14239,10.9,5,Ukraine,39 
Nara Women’s University,2612,6.2,5,Japan,100
Nara Institute of Science and Technology,1043,5.1,24,Japan,1.011805556
Namangan State University,20636,31.9,0,Uzbekistan,66
Namangan Institute of Engineering and Technology,5784,18.1,0,Uzbekistan,0.929861111
Namangan Engineering Construction Institute,3881,11.8,0,Uzbekistan,0.806944444
Nakhchivan State University,7620,14.1,20,Azerbaijan,46
Najran University,17967,16.9,1,Saudi Arabia,69
Nagoya University of Commerce & Business,3549,29.9,8,Japan,25 
Universidad Nacional de Itapúa,5595,5.3,0,Paraguay,59
Universidad Nacional de Chimborazo,8478,14.7,1,Ecuador,57
Mutah University,11486,16.1,15,Jordan,46
Mulungushi University,6988,54.6,0,Zambia,41
Mukogawa Women’s University,8394,26.4,0,Japan,100
Muban Chombueng Rajabhat University,4951,17.9,0,Thailand,62
October University for Modern Sciences and Arts (MSA),12444,11.4,2,Egypt,50
Moscow State Linguistic University,6173,6.5,7,Russian Federation,74
