name,no_of_fte_students,no_of_students_per_staff,international_students,country,percent_female
Nigeria,NA,NA,NA,Belarusian State University of Informatics and Radioelectronics,NA
Belarus,NA,NA,NA,Baze University,NA
Nigeria,NA,NA,NA,University of Batna 1,NA
Algeria,NA,NA,NA,Bath Spa University,NA
United Kingdom,NA,NA,NA,Basrah University College of Science and Technology,NA
Iraq,NA,NA,NA,Bashkir State Medical University,NA
Russian Federation,NA,NA,NA,Bartin University,NA
Turkey,NA,NA,NA,Barawa International University,NA
Somalia,NA,NA,NA,Bangabandhu Sheikh Mujibur Rahman Agricultural University,NA
Bangladesh,NA,NA,NA,Bandirma Onyedi Eylül University,NA
Turkey,NA,NA,NA,"Bamidele Olumilua University of Education, Science and Technology, Ikere-Ikiti",NA
Nigeria,NA,NA,NA,"Balochistan University of Engineering and Technology, Khuzdar",NA
Pakistan,NA,NA,NA,Bakrie University,NA
Indonesia,NA,NA,NA,Badr University in Cairo (BUC),NA
Egypt,NA,NA,NA,Babcock University,NA
Nigeria,NA,NA,NA,Azerbaijan State University of Economics,NA
Azerbaijan,NA,NA,NA,Azerbaijan University of Architecture and Construction,NA
Azerbaijan,NA,NA,NA,Augustine University,NA
Nigeria,NA,NA,NA,Audencia,NA
France,NA,NA,NA,Ashur University College,NA
Iraq,NA,NA,NA,Ashikaga University,NA
Japan,NA,NA,NA,Asahi University,NA
Japan,NA,NA,NA,Arts University Plymouth,NA
United Kingdom,NA,NA,NA,University of the Arts London,NA
United Kingdom,NA,NA,NA,Antonio Nariño University,NA
Colombia,NA,NA,NA,Arts University Bournemouth,NA
United Kingdom,NA,NA,NA,Arab Open University Lebanon,NA
Lebanon,NA,NA,NA,Arab Open University – Kuwait,NA
Kuwait,NA,NA,NA,Arab American University,NA
Palestine,NA,NA,NA,Ankara Science University,NA
Turkey,NA,NA,NA,Anglo-American University,NA
Czech Republic,NA,NA,NA,Andrés Bello Catholic University (UCAB),NA
Venezuela,NA,NA,NA,Andijan State Medical Institute,NA
Uzbekistan,NA,NA,NA,"Amity University, Mumbai",NA
India,NA,NA,NA,"Amity University Rajasthan, Jaipur",NA
India,NA,NA,NA,"Amity University, Gwalior",NA
India,NA,NA,NA,"Amity University, Gurugram",NA
India,NA,NA,NA,American University of Ras Al Khaimah,NA
United Arab Emirates,NA,NA,NA,American University of Nigeria,NA
Nigeria,NA,NA,NA,American University of Madaba,NA
Jordan,NA,NA,NA,American International University – Bangladesh,NA
Bangladesh,NA,NA,NA,Alt?nba? University,NA
Turkey,NA,NA,NA,Al-Quds University,NA
Palestine,NA,NA,NA,Al-Noor University College,NA
Iraq,NA,NA,NA,Al-Nahrain University,NA
Iraq,NA,NA,NA,Al-Muthanna University,NA
Iraq,NA,NA,NA,Al-Mustaqbal University College,NA
Iraq,NA,NA,NA,Explore,NA
Almazov National Medical Research Centre,1188,5,2,Russian Federation,70
Al-Manara College for Medical Sciences,4538,30.9,0,Iraq,47
Al-Maarif University College,6000,17.6,1,Iraq,60
Al-Kitab University,7206,16.9,0,Iraq,32 
Alisher Navo’i Tashkent State University of Uzbek Language and Literature,3614,12.9,6,Uzbekistan,82
University of Al-Hamdaniya,2302,26.5,0,Iraq,32 
Al-Esraa University College,16150,22.2,0,Iraq,n/a
Al-Farahidi University,17080,65.9,0,Iraq,47
Al-Farabi University College,4309,16,0,Iraq,36 
Al Ahliyya Amman University,4192,11.8,57,Jordan,50
Alex Ekwueme Federal University Ndufu-Alike,12962,16.8,0,Nigeria,52
Al-Ayen University,11000,51.2,0,Iraq,66
Akwa Ibom State University,10026,20.7,0,Nigeria,42
Akita Prefectural University,1826,8.5,1,Japan,26 
Ajman University,5050,16.4,82,United Arab Emirates,59
AKFA University,317,22.6,5,Uzbekistan,51
Ajeenkya DY Patil University,2793,16.4,0,India,24 
Air University,6404,15.2,0,Pakistan,32 
Aichi Prefectural University,3302,15.2,1,Japan,72
Ahl Al Bayt University,2879,14.3,1,Iraq,51
Aga Khan University,1356,2.3,1,Pakistan,65
Afe Babalola University,9085,11.1,1,Nigeria,59
Explore,NA,NA,NA,AECC University College,NA
United Kingdom,NA,NA,NA,"Adamawa State University, Mubi",NA
Nigeria,NA,NA,NA,Abertay University,NA
United Kingdom,NA,NA,NA,Abdullah Gül University,NA
Turkey,NA,NA,NA,University Abdelhamid Ibn Badis Mostaganem,NA
Algeria,NA,NA,NA,Zonguldak Bülent Ecevit University,NA
Turkey,NA,NA,NA,Yuri Gagarin State Technical University of Saratov (SSTU),NA
Russian Federation,NA,NA,NA,Yeditepe University,NA
Turkey,NA,NA,NA,Yanshan University,NA
China,NA,NA,NA,Yamaguchi University,NA
Japan,NA,NA,NA,Wroc?aw University of Science and Technology,NA
Poland,NA,NA,NA,West University of Timi?oara,NA
Romania,NA,NA,NA,University of West Attica,NA
Greece,NA,NA,NA,University of Warmia and Mazury in Olsztyn,NA
Poland,NA,NA,NA,Walailak University,NA
Thailand,NA,NA,NA,VSB - Technical University of Ostrava,NA
Czech Republic,NA,NA,NA,Explore,NA
Voronezh State University,15534,11.7,16,Russian Federation,57
V.I. Vernadsky Crimean Federal University (Vernadsky CFU),21501,11.2,8,Ukraine,58
Vietnam National University (Ho Chi Minh City),75704,21.7,1,Vietnam,46
Van Yüzüncü Yil University,20523,17,3,Turkey,44
University of Valparaíso,16371,18.3,2,Chile,58
Utsunomiya University,4829,14.1,4,Japan,37 
U?ak University,20902,38.1,11,Turkey,47
Universiti Malaysia Sabah (UMS),17068,19,4,Malaysia,67
Universitas Andalas,32537,21.6,0,Indonesia,55
Ufa State Aviation Technical University,8865,13.2,2,Russian Federation,35 
University of Tyumen,11569,15.4,9,Russian Federation,61
University of Tunis,16418,12.8,2,Tunisia,68
Toyo University,30465,24.2,6,Japan,43
Tottori University,5995,8.1,2,Japan,38 
Tomsk State University of Control Systems and Radioelectronics,6185,14.1,14,Russian Federation,32 
Tokyo University of Pharmacy and Life Sciences,3853,18.9,1,Japan,52
Tokyo Denki University,9846,28.5,3,Japan,0.602083333
Tokyo City University,7415,15.5,2,Japan,24 
Tokyo University of Agriculture,12907,32.7,1,Japan,43
Temuco Catholic University,10629,12.3,1,Chile,60
Telkom University,18977,18.2,1,Indonesia,43
Universiti Teknologi MARA,60563,16,1,Malaysia,67
Universidade Tecnológica Federal do Paraná (UTFPR),33484,12.8,1,Brazil,35 
Technical University of Sofia,10339,11.6,9,Bulgaria,27 
Technical University of Loja,51567,33.4,1,Ecuador,56
Technical University of Liberec,5222,11.5,11,Czech Republic,52
Technical University of Cluj-Napoca,18649,20.5,2,Romania,38 
Tamil Nadu Agricultural University,6724,8.7,0,India,62
Universitas Sumatera Utara,36146,21.1,2,Indonesia,54
Süleyman Demirel University,41032,34.8,5,Turkey,50
State University of Santa Cruz,6887,9.4,1,Brazil,56
State University of Ponta Grossa,8453,9.1,1,Brazil,55
Srinakharinwirot University,26673,19.6,0,Thailand,67
Southwest State University,6878,14,11,Russian Federation,41
Sophia University,13402,11.8,12,Japan,60
Explore,NA,NA,NA,University of Sonora,NA
Mexico,NA,NA,NA,Slovak University of Technology in Bratislava,NA
Slovakia,NA,NA,NA,Sivas Cumhuriyet University,NA
Turkey,NA,NA,NA,University of Sistan and Baluchestan,NA
Iran,NA,NA,NA,Silpakorn University,NA
Thailand,NA,NA,NA,University of Silesia in Katowice,NA
Poland,NA,NA,NA,Sichuan University of Science and Engineering,NA
China,NA,NA,NA,Siberian State Medical University,NA
Russian Federation,NA,NA,NA,University of Shizuoka,NA
Japan,NA,NA,NA,Shizuoka University,NA
Japan,NA,NA,NA,Shimane University,NA
Japan,NA,NA,NA,SGH Warsaw School of Economics,NA
Poland,NA,NA,NA,University of Science and Technology of Oran Mohamed-Boudiaf,NA
Algeria,NA,NA,NA,Satbayev University,NA
Kazakhstan,NA,NA,NA,San Sebastián University,NA
Chile,NA,NA,NA,Samara State Technical University,NA
Russian Federation,NA,NA,NA,Saitama University,NA
Japan,NA,NA,NA,University of La Sabana,NA
Colombia,NA,NA,NA,Rzeszów University of Technology,NA
Poland,NA,NA,NA,Ryukoku University,NA
Japan,NA,NA,NA,R V College of Engineering,NA
India,NA,NA,NA,Russian Presidential Academy of National Economy and Public Administration,NA
Russian Federation,NA,NA,NA,University of Rijeka,NA
Croatia,NA,NA,NA,Recep Tayyip Erdo?an University,NA
Turkey,NA,NA,NA,PSG College of Technology,NA
India,NA,NA,NA,Privolzhsky Research Medical University,NA
Russian Federation,NA,NA,NA,Prague University of Economics and Business,NA
Czech Republic,NA,NA,NA,Pontificia Universidad Católica del Ecuador,NA
Ecuador,NA,NA,NA,Universidad Pontificia Bolivariana (UPB),NA
Colombia,NA,NA,NA,Pontifical Catholic University of Minas Gerais,NA
Brazil,NA,NA,NA,Polytechnic University of Timi?oara,NA
Romania,NA,NA,NA,Polytechnic University of Bucharest,NA
Romania,NA,NA,NA,Universidad Politécnica Salesiana,NA
Ecuador,NA,NA,NA,Platov South-Russian State Polytechnic University (NPI),NA
Russian Federation,NA,NA,NA,University of Pernambuco,NA
Brazil,NA,NA,NA,Perm State University,NA
Russian Federation,NA,NA,NA,Perm National Research Polytechnic University,NA
Russian Federation,NA,NA,NA,Penza State University,NA
Russian Federation,NA,NA,NA,Pedagogical and Technological University of Colombia,NA
Colombia,NA,NA,NA,Payame Noor University,NA
Iran,NA,NA,NA,Pavlov First Saint Petersburg State Medical University,NA
Russian Federation,NA,NA,NA,University of Passo Fundo (UPF),NA
Brazil,NA,NA,NA,University of Pardubice,NA
Czech Republic,NA,NA,NA,Universidad Panamericana (UP),NA
Mexico,NA,NA,NA,Universitas Padjadjaran,NA
Indonesia,NA,NA,NA,Ovidius University of Constan?a,NA
Romania,NA,NA,NA,Osaka Medical and Pharmaceutical University,NA
Japan,NA,NA,NA,Osaka Institute of Technology,NA
Japan,NA,NA,NA,University of Oradea,NA
Romania,NA,NA,NA,Ondokuz Mayis University,NA
Turkey,NA,NA,NA,Omsk State Technical University,NA
Russian Federation,NA,NA,NA,Oita University,NA
Japan,NA,NA,NA,Ogarev Mordovia State University,NA
Russian Federation,NA,NA,NA,Ochanomizu University,NA
Japan,NA,NA,NA,Nueva Granada Military University,NA
Colombia,NA,NA,NA,Novosibirsk State Technical University,NA
Russian Federation,NA,NA,NA,University of Novi Sad,NA
Serbia,NA,NA,NA,Universidade Nove de Julho (Uninove),NA
Brazil,NA,NA,NA,Nosov Magnitogorsk State Technical University,NA
Russian Federation,NA,NA,NA,North-Western State Medical University named after I.I. Mechnikov,NA
Russian Federation,NA,NA,NA,Northern (Arctic) Federal University named after M.V. Lomonosov,NA
Russian Federation,NA,NA,NA,North-Eastern Federal University,NA
Russian Federation,NA,NA,NA,North-Caucasus Federal University,NA
Russian Federation,NA,NA,NA,Nnamdi Azikiwe University,NA
Nigeria,NA,NA,NA,Nizhny Novgorod State Technical University,NA
Russian Federation,NA,NA,NA,National United University,NA
Taiwan,NA,NA,NA,National Taipei University,NA
Taiwan,NA,NA,NA,National Kaohsiung University of Science and Technology,NA
Taiwan,NA,NA,NA,National University of Kaohsiung,NA
Taiwan,NA,NA,NA,National Ilan University,NA
Taiwan,NA,NA,NA,National Formosa University,NA
Taiwan,NA,NA,NA,National University of Córdoba,NA
Argentina,NA,NA,NA,National Chi Nan University,NA
Taiwan,NA,NA,NA,National Chiayi University,NA
Taiwan,NA,NA,NA,National Changhua University of Education,NA
Taiwan,NA,NA,NA,Naresuan University,NA
Thailand,NA,NA,NA,Nagoya Institute of Technology,NA
Japan,NA,NA,NA,Universidad Nacional Mayor de San Marcos,NA
Peru,NA,NA,NA,Universidad Nacional del Litoral,NA
Argentina,NA,NA,NA,Mustansiriyah University,NA
Iraq,NA,NA,NA,Muroran Institute of Technology,NA
Japan,NA,NA,NA,Université Mouloud Mammeri de Tizi-Ouzou,NA
Algeria,NA,NA,NA,University of Mosul,NA
Iraq,NA,NA,NA,Moscow Power Engineering Institute,NA
Russian Federation,NA,NA,NA,Moscow Polytechnic University,NA
Russian Federation,NA,NA,NA,University of Montenegro,NA
Montenegro,NA,NA,NA,University Mohamed Boudiaf of M’Sila,NA
Algeria,NA,NA,NA,University of Miyazaki,NA
Japan,NA,NA,NA,University of Miskolc,NA
Hungary,NA,NA,NA,MIREA - Russian Technological University,NA
Russian Federation,NA,NA,NA,Ming Chuan University,NA
Taiwan,NA,NA,NA,Universidad Michoacana de San Nicolás de Hidalgo,NA
Mexico,NA,NA,NA,M’Hamed Bougara University of Boumerdès,NA
Algeria,NA,NA,NA,Mendeleev University of Chemical Technology,NA
Russian Federation,NA,NA,NA,Meijo University,NA
Japan,NA,NA,NA,Meiji University,NA
Japan,NA,NA,NA,Medical University of Silesia in Katowice,NA
Poland,NA,NA,NA,Matej Bel University,NA
Slovakia,NA,NA,NA,Maria Curie-Sk?odowska University (UMCS),NA
Poland,NA,NA,NA,Mapúa University,NA
Philippines,NA,NA,NA,Explore,NA
Mahasarakham University,37351,30,1,Thailand,57
Mackenzie Presbyterian University,27482,27.3,0,Brazil,59
University of Macerata (UNIMC),10561,23.7,5,Italy,76
Lucian Blaga University of Sibiu,13154,16.5,2,Romania,60
Lodz University of Technology,12642,17.8,4,Poland,39 
University of ?ód?,22273,16.7,8,Poland,63
Latvia University of Life Sciences and Technologies,3891,24.9,4,Latvia,52
Ladoke Akintola University of Technology,25953,53.1,0,Nigeria,49
Kyoto Institute of Technology,3958,13.4,6,Japan,29 
Kyoto Sangyo University,12110,21.1,2,Japan,34 
Kwansei Gakuin University,25537,24.8,4,Japan,49
University of Kufa,28175,12.3,0,Iraq,65
Kookmin University,17238,12,11,South Korea,49
Kogakuin University,6317,17.5,1,Japan,0.847916667
Kochi University,5480,8.2,1,Japan,44
Kocaeli University,67200,45.7,3,Turkey,41
Kirikkale University,27790,46.2,2,Turkey,49
King Mongkut’s Institute of Technology Ladkrabang,24243,20.6,1,Thailand,54
Kemerovo State University,15311,20.8,6,Russian Federation,67
Kasetsart University,68589,18.4,1,Thailand,63
Karadeniz Technical University,34824,25.8,4,Turkey,44
University of Karachi,43740,36.3,0,Pakistan,57
Kansai University,30335,12.3,3,Japan,41
Kanagawa University,17457,14.8,4,Japan,30 
Kagoshima University,10326,10.2,2,Japan,37 
Jean Moulin University – Lyon 3,27907,40.6,20,France,65
Jan Evangelista Purkyn? University,7966,18.1,3,Czech Republic,66
Izmir Institute of Technology,5542,18.5,3,Turkey,46
Iwate University,5305,13.1,4,Japan,37 
Ivanovo State University of Chemistry and Technology,3788,18.5,6,Russian Federation,45
Ivane Javakhishvili Tbilisi State University,22080,29.1,3,Georgia,61
Explore,NA,NA,NA,Islamic University of Indonesia,NA
Indonesia,NA,NA,NA,I-Shou University,NA
Taiwan,NA,NA,NA,Irkutsk State University,NA
Russian Federation,NA,NA,NA,Instituto Politécnico Nacional (IPN),NA
Mexico,NA,NA,NA,Inönü University,NA
Turkey,NA,NA,NA,Industrial University of Tyumen,NA
Russian Federation,NA,NA,NA,Universidad Industrial de Santander (UIS),NA
Colombia,NA,NA,NA,Ibaraki University,NA
Japan,NA,NA,NA,University of Hyogo,NA
Japan,NA,NA,NA,Hue University,NA
Vietnam,NA,NA,NA,Hellenic Open University,NA
Greece,NA,NA,NA,University of Havana,NA
Cuba,NA,NA,NA,Université Hassan 1er,NA
Morocco,NA,NA,NA,Hanoi University of Science and Technology,NA
Vietnam,NA,NA,NA,Gubkin Russian State University of Oil and Gas,NA
Russian Federation,NA,NA,NA,University of Guanajuato,NA
Mexico,NA,NA,NA,University of Guadalajara,NA
Mexico,NA,NA,NA,Explore,NA
Grigore T. Popa University of Medicine and Pharmacy,9605,10.8,27,Romania,68
GITAM University,22094,14.1,1,India,35 
Gheorghe Asachi Technical University of Ia?i,13884,21,9,Romania,30 
"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures",8752,14,11,Romania,64
Gaziantep University,33225,38,11,Turkey,47
Fukuoka University,19637,9.5,1,Japan,40 
University of Fukui,4902,8,5,Japan,31 
Universidad de las Fuerzas Armadas – ESPE,18562,13.4,0,Ecuador,37 
Université Frères Mentouri Constantine 1,36423,22.2,1,Algeria,62
Fluminense Federal University,70979,21.1,0,Brazil,49
Feng Chia University,19298,23.3,7,Taiwan,39 
Federal University of Vales do Jequitinhonha e Mucuri,10708,13.2,0,Brazil,59
Federal University of the State of Rio de Janeiro (UNIRIO),20874,22.7,8,Brazil,n/a
Universidade Federal Rural do Semi-Arido,6750,10,0,Brazil,46
Federal Rural University of Pernambuco,20185,16,0,Brazil,48
Federal University of Piauí,52000,24.6,0,Brazil,n/a
Federal University of Pernambuco,34356,14.2,1,Brazil,50
Federal University of Pelotas,23242,17.1,0,Brazil,56
Federal University of Paraí­ba (UFPB),36815,14.3,0,Brazil,51
Federal University of Pará,43211,16.3,0,Brazil,52
Universidade Federal de Ouro Preto (UFOP),15453,17.1,1,Brazil,50
Federal University of Mato Grosso do Sul,26142,15.6,1,Brazil,55
Universidade Federal do Maranhão (UFMA),32222,16.2,0,Brazil,52
Universidade Federal de Juiz de Fora,26085,16.5,0,Brazil,54
Federal University of Itajubá,8596,17.1,1,Brazil,30 
Universidade Federal do Vale do São Francisco,6395,11,0,Brazil,49
Universidade Federal do Triângulo Mineiro,11992,20.5,0,Brazil,59
Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),4882,13.6,1,Brazil,70
Universidade Federal do Ceará (UFC),40899,19.8,1,Brazil,44
"Federal University of Agriculture, Abeokuta",17038,25.9,0,Nigeria,50
Universidade Estadual do Oeste do Paraná (Unioeste),10540,9,0,Brazil,59
Universidade Estadual de Maringá,19442,12.6,0,Brazil,55
Universidade Estadual do Norte Fluminense Darcy Ribeiro,6910,23,0,Brazil,61
Universidade do Estado de Santa Catarina,12404,12.9,1,Brazil,52
Eski?ehir Osmangazi University,30822,19.6,3,Turkey,45
Escuela Politécnica Nacional,7084,12.9,1,Ecuador,29 
Erzincan Binali Y?ld?r?m University,13773,18.7,3,Turkey,54
EAFIT University,14164,23.8,2,Colombia,44
Dunarea de Jos University of Galati,12770,16.6,21,Romania,59
Dumlupinar University,49511,50.4,8,Turkey,43
Doshisha University,27764,18.5,4,Japan,42
Dokkyo Medical University,1338,1.2,0,Japan,51
Diponegoro University,38567,13.5,2,Indonesia,56
Dicle University,31401,17.3,2,Turkey,44
University of Dar es Salaam,37385,24.8,0,Tanzania,44
Cukurova University,40200,17.8,5,Turkey,44
University of Craiova,18411,22.5,4,Romania,49
Cracow University of Technology,13339,12.9,2,Poland,38 
Communication University of China,16350,14,5,China,n/a
Comillas Pontifical University,10065,21.8,6,Spain,55
University of Colima,13665,9.6,0,Mexico,54
Chuo University,25954,35.3,4,Japan,38 
Chubu University,9128,16.8,2,Japan,27 
Chinese Culture University,23216,23.3,5,Taiwan,50
Chiba Institute of Technology,9895,24.3,2,Japan,0.643055556
Chaoyang University of Technology,14645,38.1,6,Taiwan,55
Manisa Celal Bayar University,40533,22.4,2,Turkey,51
Ceará State University,18436,16.6,0,Brazil,58
University of Caxias do Sul,13554,25.8,0,Brazil,51
Catholic University of Brasília,8865,17.8,0,Brazil,53
Bursa Uluda? University,42787,25.3,9,Turkey,47
Burapha University,30800,21.8,1,Thailand,70
Explore,NA,NA,NA,University of Brawijaya,NA
Indonesia,NA,NA,NA,Bolu Abant Izzet Baysal University,NA
Turkey,NA,NA,NA,Blida 1 University,NA
Algeria,NA,NA,NA,University of Biskra,NA
Algeria,NA,NA,NA,University of Bío-Bío,NA
Chile,NA,NA,NA,Bialystok University of Technology,NA
Poland,NA,NA,NA,Benemérita Universidad Autónoma de Puebla,NA
Mexico,NA,NA,NA,Belgorod State National Research University,NA
Russian Federation,NA,NA,NA,Belarusian State University,NA
Belarus,NA,NA,NA,University of Béjaïa,NA
Algeria,NA,NA,NA,University of Basrah,NA
Iraq,NA,NA,NA,Ba?kent University,NA
Turkey,NA,NA,NA,Bashkir State University,NA
Russian Federation,NA,NA,NA,Baku State University,NA
Azerbaijan,NA,NA,NA,University of Baghdad,NA
Iraq,NA,NA,NA,Badji Mokhtar University – Annaba,NA
Algeria,NA,NA,NA,Autonomous University of Baja California,NA
Mexico,NA,NA,NA,Universidad Autónoma de Yucatán,NA
Mexico,NA,NA,NA,Universidad Autónoma de Querétaro,NA
Mexico,NA,NA,NA,Universidad Autónoma de Nuevo León (UANL),NA
Mexico,NA,NA,NA,Universidad Autónoma del Estado de Morelos,NA
Mexico,NA,NA,NA,Universidad Autónoma del Estado de Mexico (UAEMex),NA
Mexico,NA,NA,NA,Universidad Autónoma del Estado de Hidalgo,NA
Mexico,NA,NA,NA,Universidad Autónoma de Coahuila,NA
Mexico,NA,NA,NA,Universidad Autónoma de Ciudad Juárez,NA
Mexico,NA,NA,NA,Universidad Autónoma Chapingo,NA
Mexico,NA,NA,NA,Aoyama Gakuin University,NA
Japan,NA,NA,NA,Annamalai University,NA
India,NA,NA,NA,"University of the Andes, Venezuela",NA
Venezuela,NA,NA,NA,Alzahra University,NA
Iran,NA,NA,NA,Alexandru Ioan Cuza University,NA
Romania,NA,NA,NA,Aksaray University,NA
Turkey,NA,NA,NA,Akita University,NA
Japan,NA,NA,NA,University of Abou Bekr Belkaïd Tlemcen,NA
Algeria,NA,NA,NA,Zanjan University of Medical Sciences,NA
Iran,NA,NA,NA,University of Zanjan,NA
Iran,NA,NA,NA,University of Zagreb,NA
Croatia,NA,NA,NA,Yuriy Fedkovych Chernivtsi National University,NA
Ukraine,NA,NA,NA,Yuan Ze University,NA
Taiwan,NA,NA,NA,Yokohama National University,NA
Japan,NA,NA,NA,Yazd University,NA
Iran,NA,NA,NA,University of Yamanashi,NA
Japan,NA,NA,NA,Yamagata University,NA
Japan,NA,NA,NA,Xuzhou Medical University,NA
China,NA,NA,NA,Xiangtan University,NA
China,NA,NA,NA,Explore,NA
Wuhan Textile University,22221,16,1,China,55
University of Wroc?aw,19501,16.4,7,Poland,67
Wroc?aw University of Environmental and Life Sciences,7351,17.1,4,Poland,68
Western Michigan University,17612,19.9,8,United States,52
University of Western Macedonia,7891,33.6,1,Greece,50
University of West Bohemia,11054,14.7,4,Czech Republic,54
Warsaw University of Technology,25021,18.9,7,Poland,34 
Warsaw University of Life Sciences – SGGW,15736,13.6,6,Poland,59
Vytautas Magnus University,7765,11.3,14,Lithuania,61
Voronezh State Technical University,9947,9.3,6,Russian Federation,34 
Volgograd State Technical University,11790,13.1,9,Russian Federation,32 
V.N. Karazin Kharkiv National University,17080,8.5,26,Ukraine,55
"Visvesvaraya National Institute of Technology, Nagpur",4882,16.6,3,India,0.970833333
Vilnius Gediminas Technical University (Vilnius Tech),8322,13,11,Lithuania,32 
"Vignan’s Foundation for Science, Technology and Research",7072,11.7,1,India,47
University of Venda,11407,27.8,1,South Africa,60
Veltech University,8568,13.6,2,India,0.684027778
University of Valladolid,21780,11.2,8,Spain,57
USAMV Cluj-Napoca,5643,18.5,7,Romania,52
Ural Federal University,26370,13.1,17,Russian Federation,50
Universiti Tun Hussein Onn Malaysia (UTHM),15498,16.4,6,Malaysia,47
Universiti Malaysia Terengganu (UMT),9510,15.7,5,Malaysia,70
Université Chouaïb Doukkali,21654,33.6,2,Morocco,55
Unisinos University,9529,18.2,0,Brazil,61
UNIR – International University of La Rioja,27135,26.7,41,Spain,62
Tzu Chi University,3373,9.8,10,Taiwan,62
Explore,NA,NA,NA,University of Tunis El Manar,NA
Tunisia,NA,NA,NA,Tunghai University,NA
Taiwan,NA,NA,NA,Tshwane University of Technology,NA
South Africa,NA,NA,NA,Transilvania University of Bra?ov,NA
Romania,NA,NA,NA,Toyohashi University of Technology (TUT),NA
Japan,NA,NA,NA,University of Toyama,NA
Japan,NA,NA,NA,Tomas Bata University in Zlín,NA
Czech Republic,NA,NA,NA,Tokyo University of Science,NA
Japan,NA,NA,NA,Explore,NA
Tokyo University of Marine Science and Technology,2595,10.5,8,Japan,33 
Tokyo University of Agriculture and Technology,5686,15.2,6,Japan,32 
Tokushima University,7508,9.6,3,Japan,36 
Tokat Gaziosmanpa?a University,19358,14.6,11,Turkey,50
Tokai University,28334,15.8,4,Japan,27 
Toho University,5421,13.4,0,Japan,53
TOBB University of Economics and Technology,4822,12.8,1,Turkey,47
The John Paul II Catholic University of Lublin,10070,10.7,9,Poland,62
Thammasat University,30995,11.7,1,Thailand,64
Explore,NA,NA,NA,Tezpur University,NA
India,NA,NA,NA,Texas State University,NA
United States,NA,NA,NA,Institut Teknologi Sepuluh Nopember,NA
Indonesia,NA,NA,NA,Universiti Teknikal Malaysia Melaka,NA
Malaysia,NA,NA,NA,Teikyo University,NA
Japan,NA,NA,NA,University of Technology of Troyes,NA
France,NA,NA,NA,University of Technology of Compiègne,NA
France,NA,NA,NA,Technological University of Pereira,NA
Colombia,NA,NA,NA,Technical University of Košice,NA
Slovakia,NA,NA,NA,Taras Shevchenko National University of Kyiv,NA
Ukraine,NA,NA,NA,University of Tarapacá,NA
Chile,NA,NA,NA,Tamkang University,NA
Taiwan,NA,NA,NA,University of Talca,NA
Chile,NA,NA,NA,Suranaree University of Technology,NA
Thailand,NA,NA,NA,St Petersburg Electrotechnical University (LETI),NA
Russian Federation,NA,NA,NA,State University of Malang,NA
Indonesia,NA,NA,NA,Staffordshire University,NA
United Kingdom,NA,NA,NA,SRM Institute of Science and Technology,NA
India,NA,NA,NA,Sri Venkateswara University,NA
India,NA,NA,NA,Southwest Jiaotong University,NA
China,NA,NA,NA,Explore,NA
Southern Federal University,17299,10.2,14,Russian Federation,65
University of Sousse,25602,13.4,2,Tunisia,68
Université Sorbonne Nouvelle,16698,24,29,France,77
Soongsil University,16142,19.8,10,South Korea,47
Soonchunhyang University,11543,19.2,4,South Korea,49
Sofia University,22490,6.5,6,Bulgaria,65
Silesian University of Technology,18396,12.4,4,Poland,32 
Siberian Federal University,9724,18.9,13,Russian Federation,36 
Showa University,3662,1.6,0,Japan,60
Shinshu University,10603,10.4,3,Japan,32 
Shiga University of Medical Science,1160,3.1,3,Japan,49
Shibaura Institute of Technology,9007,27.9,6,Japan,0.806944444
University of Shanghai for Science and Technology,25884,9.7,2,China,41
Shahid Rajaee Teacher Training University,9060,38.1,0,Iran,31 
?Shahid Chamran University of Ahvaz,15096,25.6,4,Iran,58
Shahid Bahonar University of Kerman,14509,23.8,1,Iran,60
Shahed University,5501,16.8,0,Iran,48
University of Sfax,29118,12.9,2,Tunisia,68
Seoul National University of Science and Technology (SeoulTech),9526,14.9,8,South Korea,36 
University of Seoul,9759,17.5,4,South Korea,40 
Semnan University,15415,13.7,1,Iran,50
Selçuk University,36084,19.6,7,Turkey,55
Universitas Sebelas Maret,28398,18.3,1,Indonesia,64
Sathyabama Institute of Science and Technology,12971,12.1,5,India,48
Explore,NA,NA,NA,SASTRA University,NA
India,NA,NA,NA,Sapporo Medical University,NA
Japan,NA,NA,NA,"University of Santiago, Chile (USACH)",NA
Chile,NA,NA,NA,Samara National Research University (Samara University),NA
Russian Federation,NA,NA,NA,Saitama Medical University,NA
Japan,NA,NA,NA,Université Saint-Joseph de Beyrouth,NA
Lebanon,NA,NA,NA,Saga University,NA
Japan,NA,NA,NA,University of the Ryukyus,NA
Japan,NA,NA,NA,Ritsumeikan University,NA
Japan,NA,NA,NA,Riga Technical University,NA
Latvia,NA,NA,NA,Qassim University,NA
Saudi Arabia,NA,NA,NA,Explore,NA
Prince of Songkla University,32779,13,2,Thailand,70
University of Primorska,6089,16.6,15,Slovenia,76
Poznan University of Technology,14502,11.6,4,Poland,33 
Poznan University of Medical Sciences,7495,6,14,Poland,72
Pontifícia Universidade Católica do Paraná,12301,14.7,1,Brazil,55
Pontifical Catholic University of Valparaíso,17703,26.6,1,Chile,43
Pontifical Catholic University of Peru,25644,7.8,1,Peru,46
